,maximum,minimum
R197,99999.955407,-99997.590319
R198,100000.0,-99997.545726
R199,0.870777,0.0
R2,100000.0,-100000.0
R20,0.006553,0.006553
R200,0.870777,0.0
R201,1.01573,1.01573
R202,0.507865,0.507865
R203,0.0,0.0
R204,0.870777,0.0
R205,0.870777,0.0
R206,0.870777,0.0
R207,0.870777,0.0
R208,-0.0,0.0
R209,-0.0,0.0
R21,0.006553,0.006553
R210,-0.0,0.0
R211,3.061927,3.061927
R212,3.061927,3.061927
R213,3.061927,3.061927
R214,1.023371,1.023371
R215,0.004925,0.004925
R216,-0.0,0.0
R217,-0.0,0.0
R218,-0.0,0.0
R219,-0.0,0.0
R22,0.002465,0.002465
R220,1.025253,1.025253
R221,1.025253,1.025253
R222,1.025253,1.025253
R223,1.025253,1.025253
R224,1.025253,1.025253
R225,-0.008689,-0.721623
R226,-0.0,0.0
R227,-0.0,0.0
R228,-0.0,0.0
R229,-0.0,0.0
R23,0.002465,0.002465
R230,-0.0,0.0
R231,-0.0,0.0
R232,-0.0,0.0
R233,-0.0,0.0
R234,-0.0,0.0
R235,-0.0,0.0
R236,-0.0,0.0
R237,0.006553,0.006553
R238,-0.0,0.0
R239,-0.0,0.0
R24,-0.0,0.0
R240,-0.0,0.0
R241,0.004925,0.004925
R242,-0.0,0.0
R243,-0.0,0.0
R244,-0.0,0.0
R245,0.012765,0.012765
R246,0.056836,0.056836
R247,-0.0,0.0
R248,-0.0,0.0
R249,-0.0,0.0
R25,-0.0,0.0
R250,-0.0,0.0
R251,-0.0,0.0
R252,-0.0,0.0
R253,-0.0,0.0
R254,-0.0,0.0
R255,-0.0,0.0
R256,-0.0,0.0
R257,-0.0,0.0
R258,99999.995075,0.0
R259,0.008063,0.008063
R26,-0.0,0.0
R260,0.00784,0.00784
R261,-0.0,0.0
R262,-0.0,0.0
R263,-0.0,0.0
R264,-0.0,0.0
R265,-0.0,0.0
R266,-0.0,0.0
R267,-0.0,0.0
R268,-0.0,0.0
R269,-0.0,0.0
R27,-0.0,0.0
R270,0.000959,0.000959
R271,0.000959,0.000959
R272,0.000959,0.000959
R273,0.000959,0.000959
R274,0.000959,0.000959
R275,0.000959,0.000959
R276,0.000959,0.000959
R277,-0.0,0.0
R278,-0.0,0.0
R279,-0.0,0.0
R28,1.854969,0.006498
R280,-0.0,0.0
R281,-0.0,0.0
R282,-0.0,0.0
R283,-0.0,0.0
R284,100000.0,-100000.0
R285,-0.0,0.0
R286,100000.0,-100000.0
R287,0.151509,0.151509
R288,-0.0,0.0
R289,-0.0,0.0
R29,1.854969,0.006498
R290,-0.0,0.0
R291,-0.0,0.0
R292,-0.0,0.0
R293,0.017818,0.017818
R294,0.029315,0.029315
R295,0.00641,0.0
R296,0.00641,0.0
R297,0.003064,0.003064
R299,0.003064,0.003064
R3,100000.0,-100000.0
R30,-0.006498,-1.003379
R300,-0.0,0.0
R301,0.001608,0.001608
R302,0.001608,0.001608
R303,-0.0,0.0
R304,0.001608,0.001608
R305,0.001827,0.001827
R306,0.011764,0.011764
R307,0.014827,0.014827
R308,-0.0,0.0
R309,-0.0,0.0
R31,0.996881,0.0
R310,0.009345,0.009345
R311,99999.988953,0.0
R312,100000.0,0.011047
R313,0.003842,0.003842
R314,0.003842,0.003842
R315,0.003842,0.003842
R316,0.003842,0.003842
R317,0.003842,0.003842
R318,-0.0,0.0
R319,-0.0,0.0
R32,1.008525,0.008525
R320,-0.0,0.0
R321,-0.0,0.0
R322,-0.0,0.0
R323,-0.0,0.0
R324,-0.0,0.0
R325,-0.0,0.0
R326,-0.0,0.0
R327,-0.0,0.0
R328,99999.998392,-99999.988752
R329,0.001608,0.001608
R33,-0.0,0.0
R330,0.001608,0.001608
R332,6.6e-05,6.6e-05
R333,-0.0,0.0
R334,0.011246,0.011246
R335,-0.0,0.0
R336,-0.0,0.0
R337,-0.0,0.0
R338,1.000158,0.158485
R338b,1.000158,0.158485
R339,0.0,0.0
R34,1.854969,0.0
R340,1.000223,0.15855
R341,-0.011246,-0.011246
R342,-0.0,0.0
R343,-0.0,0.0
R344,-0.0,0.0
R345,-0.0,0.0
R346,-0.0,0.0
R347,-0.0,0.0
R348,-0.0,0.0
R349,-0.0,0.0
R35,-0.0,0.0
R350,-0.0,0.0
R351,2.980022,2.980022
R351b,1.16639,1.16639
R352,0.001608,0.001608
R354,100000.0,-99999.987144
R355,-0.0,0.0
R356,-0.0,0.0
R357,100000.0,-99999.987144
R358,-1.187965,-7.688183
R359,0.003064,0.003064
R36,1.854969,0.0
R361,0.003064,0.003064
R362,-0.0,0.0
R363,-0.0,0.0
R364,-0.0,0.0
R365,-0.0,0.0
R366,-0.005456,-0.005456
R367,-0.0,0.0
R368,-0.0,0.0
R369,-0.0,0.0
R37,99999.989469,-100000.0
R370,-0.0,0.0
R371,-0.0,0.0
R372,0.005456,0.005456
R373,-0.0,0.0
R374,0.005456,0.005456
R375,0.005456,0.005456
R376,100000.0,-100000.0
R377,0.013566,0.013566
R378,0.0,0.0
R379,100000.0,0.0
R38,0.006771,0.006771
R380,-0.0,0.0
R381,0.002842,0.002842
R382,0.002842,0.002842
R383,0.002842,0.002842
R384,0.002842,0.002842
R385,0.005684,0.005684
R386,0.005684,0.005684
R387,0.002842,0.002842
R388,0.002842,0.002842
R389,0.001044,0.001044
R39,100000.0,-99999.989469
R390,0.002376,0.002376
R391,0.002376,0.002376
R392,0.002376,0.002376
R393,0.002376,0.002376
R394,0.002376,0.002376
R395,0.002376,0.002376
R396,0.002376,0.002376
R397,0.002376,0.002376
R398,7.9e-05,7.9e-05
R399,0.0,0.0
R4,-0.0,0.0
R40,99999.993229,-99999.99624
R400,0.0,0.0
R401,0.0,0.0
R402,0.0,0.0
R403,0.0,0.0
R404,0.0,0.0
R405,0.0,0.0
R406,0.0,0.0
R407,0.0,0.0
R408,-0.0,0.0
R409,-0.0,0.0
R41,3.570789,0.0
R410,-0.0,0.0
R411,1.3e-05,1.3e-05
R412,0.000959,0.000959
R413,0.000958,0.000958
R414,0.000958,0.000958
R415,0.000958,0.000958
R416,0.000958,0.000958
R417,0.000958,0.000958
R418,0.000958,0.000958
R419,-0.0,0.0
R42,3.570789,0.0
R420,-0.0,0.0
R421,-0.0,0.0
R422,-0.0,0.0
R423,-0.0,0.0
R424,-0.0,0.0
R425,0.052091,0.052091
R426,0.052091,0.052091
R427,0.052091,0.052091
R427b,7.9e-05,7.9e-05
R427c,7.9e-05,7.9e-05
R428,0.00107,0.00107
R429,0.00107,0.00107
R43,-0.0,0.0
R430,0.00107,0.00107
R431,0.000535,0.000535
