,maximum,minimum
R3E4E2127,0.0,-99997.78
R3E60B554,99999.0,-99999.0
R3E8AF7E7,99999.0,0.0
R3EBD08B,99999.0,0.0
R3ED0529C,0.0,0.0
R3EFE3830,99999.0,0.0
R3F0A1055,99999.0,0.0
R3F42BDA9,99999.0,-99999.0
R3F822607,99999.0,0.0
R3F89D4B8,99999.0,0.0
R3FB74381,99999.0,-99999.0
R3FB7A5C0,99999.0,-99999.0
R3FBBF52,99999.0,0.0
R3FCD1873,0.0,0.0
R3FD97BF1,99999.0,-99999.0
R3FE488DF,99999.0,0.0
R3FE63503,0.0,0.0
R3FF1044F,99999.0,0.0
R40199C06,99999.0,0.0
R402CB936,0.0,0.0
R406AB26,99999.0,-99999.0
R4073B467,99999.0,0.0
R40895915,0.0,0.0
R408A2A8E,0.0,0.0
R40B2620,99999.0,0.0
R40DD39C0,99998.99978,0.0
R40DEFA87,99999.0,0.0
R410CCF86,99999.0,0.0
R415A8223,99999.0,0.0
R41759CAC,99999.0,0.0
R41D23B4,99999.0,0.0
R421417F6,16666.5,0.0
R4245374E,99999.0,-99999.0
R427B1B98,99999.0,0.0
R427EEB5B,99999.0,-99999.0
R42A9E336,99999.0,0.0
R42C000B1,99999.0,0.0
R42D0EFCB,99999.0,-99999.0
R42EBD3FB,0.0,0.0
R42F8A68F,99999.0,-99999.0
R4346518,99999.0,0.0
R435A649E,99999.0,-99999.0
R43966FF0,99999.0,-99999.0
R43B6FE2C,0.0,0.0
R43E299F5,99999.0,-99999.0
R44045C46,0.0,0.0
R442A88A4,0.0,-99995.94
R4454EE80,0.0,0.0
R4459A1FE,99999.0,-99999.0
R446B9114,99999.0,0.0
R447541E9,99999.0,0.0
R44928E69,99999.0,0.0
R4493A9F8,99999.0,-99999.0
R44BBAAB3,99999.0,-99999.0
R44C32F3A,0.0,0.0
R44E6C604,99999.0,-99999.0
R44F95782,99998.99978,0.0
R450BECFB,99999.0,0.0
R4543BFF5,0.0,0.0
R45574635,500.0,500.0
R455A49C3,99999.0,-99998.59267
R45614239,0.0,0.0
R458916A7,99999.0,-99999.0
R458B2C0D,0.0,0.0
R45A1620C,99999.0,0.0
R45C3BDE,99999.0,0.0
R45F19430,0.0,-99986.3827
R4600C6CF,0.0,0.0
R466535EF,99999.0,0.0
R46982553,99999.0,0.0
R47177312,99999.0,-99999.0
R472B3B,99999.0,0.0
R4742D6D3,0.0,0.0
R47504FE3,99999.0,0.0
R4761AB9C,14285.571429,0.0
R4778AC19,99999.0,-99999.0
R47B0699A,99999.0,0.0
R47E265BB,99999.0,0.0
R47E9B9DC,99999.0,-99999.0
R47F50570,0.0,0.0
R4844285D,0.0,0.0
R48477E9B,99999.0,0.0
R485A5F40,99998.99978,0.0
R48A94AB9,99999.0,0.0
R48AE27DB,0.0,0.0
R48E37591,10.0,10.0
R492E95AF,14285.571429,0.0
R495C43AA,99999.0,0.0
R495D7AA2,49999.5,0.0
R495F902F,99999.0,0.0
R49600ABF,99999.0,0.0
R499438FB,99999.0,-99999.0
R49B81B17,0.0,-99999.0
R49CD3722,99999.0,0.0
R4A0CBD2B,83332.5,0.0
R4A164E2,0.0,-99999.0
R4A17B797,16666.5,0.0
R4A37B715,99999.0,0.0
R4A382F30,0.0,0.0
R4A7C9795,99999.0,0.0
R4A881FA5,99995.94,0.0
R4A88D1B0,0.0,0.0
R4AB610A3,99999.0,0.0
R4AC4DC79,99999.0,-99999.0
R4ACEE8B2,99999.0,0.0
R4ADDF2AC,99999.0,0.0
R4B190CD1,0.0,0.0
R4B1C0C7B,99999.0,-99999.0
R4B24A965,99999.0,0.0
R4B5CB39,0.0,0.0
R4B76194,99999.0,-99996.37
R4B7CFCA,99999.0,0.0
R4B89FF9D,99999.0,0.0
R4B9D1A3,99999.0,-99999.0
R4BA51054,99999.0,-99999.0
R4C0CD877,99999.0,0.0
R4C124CD3,99999.0,0.0
R4C3B7A28,0.0,0.0
R4C620BFB,0.0,0.0
R4C7A710A,99999.0,0.0
R4C83430,99999.0,0.0
R4CA6511B,99999.0,0.0
R4D0C76F7,99999.0,0.0
R4D18E3F1,99999.0,0.0
R4D22A370,99999.0,0.0
R4D4093F7,99999.0,-99999.0
R4D4B4302,0.0,0.0
R4D7E8C8F,99998.99989,-99999.0
R4D81A0E8,99999.0,-0.0
R4D87DDA5,49539.417344,0.0
R4DB57A1,99999.0,-99999.0
R4E132314,99999.0,0.0
R4E38AA76,99999.0,-99999.0
R4E4D8FE8,99999.0,0.0
R4E6A0BB5,99999.0,-99999.0
R4E71B6E2,-0.00022,-99999.0
R4EA8BB79,99999.0,-99999.0
R4EB64F0,99999.0,-99999.0
R4EB705C7,0.0,0.0
R4ED37718,99999.0,-99999.0
R4F010A6,99999.0,0.0
R4F0C3985,99999.0,0.0
R4F449263,0.0,0.0
R4F457A0E,99999.0,0.0
R4FA9C0AC,99999.0,0.0
R4FB419,99999.0,0.0
R4FD77645,99999.0,-99999.0
R4FF0286F,99999.0,0.0
R4FF073A,99999.0,-99999.0
R501039A,99999.0,0.0
R5059428E,99999.0,-99999.0
R5059BF4E,0.0,0.0
R507C1807,99999.0,0.0
R50A315CE,99999.0,0.0
R50A3C4D8,99999.0,0.0
R50AE73D1,99999.0,0.0
R50B943CA,99999.0,-99999.0
R50D351BC,99999.0,-99999.0
R50FDA0C0,99999.0,0.0
R51303A6,99991.67201,-99999.0
R5130B2DE,0.0,-99999.0
R5148B89F,99999.0,-99999.0
R51499BF,99999.0,-99999.0
R518003E1,99999.0,0.0
R519A8807,99999.0,-99999.0
R51B56962,0.0,-99999.0
R51BADAB,99999.0,-99999.0
R51BDD2FA,99999.0,0.0
R521C310F,99999.0,0.0
R52460234,99999.0,-99999.0
R52702100,99999.0,0.0
R52A36C0E,99999.0,-99999.0
R52A90450,99999.0,-99999.0
R52B62F93,99999.0,-99999.0
