,minimum,maximum
rxn05179,0.0,1000.0
rxn13794,0.0,1000.0
rxn10170,0.0,1000.0
rxn05169,0.0,1000.0
rxn01352,0.0,1000.0
rxn01352_REV,0.0,1000.0
rxn09016,0.0,1000.0
rxn09016_REV,0.0,1000.0
rxn05231,0.0,0.016703
rxn06076,0.0,0.049125
rxn05233,0.0,0.032422
rxn06075,0.0,0.016703
rxn12498,0.0,0.0
rJB00269,0.0,0.0
rxn05561,0.0,1000.0
rxn05561_REV,0.0,1000.0
rxn10154,0.0,1000.0
rxn10154_REV,0.0,1000.0
rxn00902,0.481704,3.686842
rxn00269,0.0,9.999585
rxn03541,0.0,1000.0
rxn03541_REV,0.0,1000.0
rxn10113,0.0,19.999171
rJB00267,0.0,19.999171
rxn05152,0.0,1000.0
rxn05146,0.0,1000.0
rxn08861,0.0,995.709953
rxn00394,0.0,23.510073
rxn05197,0.0,1000.0
rxn05197_REV,0.0,1000.0
rxn01225,0.0,0.0
rxn08527,0.0,0.0
rxn08527_REV,0.0,0.0
rxn01732,0.0,1000.0
rxn01732_REV,0.0,1000.0
rxn00285,0.0,1000.0
rxn00285_REV,0.0,1000.0
rxn05334,0.631627,1000.0
rxn05334_REV,0.0,999.368373
rxn05329,0.631627,1000.0
rxn05329_REV,0.0,999.368373
rxn05330,0.631627,1000.0
rxn05330_REV,0.0,999.368373
rxn13843,0.0,1000.0
rxn13843_REV,0.0,1000.0
rxn13840,0.295117,1000.0
rxn13840_REV,0.0,999.704883
rxn13846,0.0,1000.0
rxn13846_REV,0.0,1000.0
rxn10168,0.0,1000.0
rxn13842,0.0,1000.0
rxn13842_REV,0.0,1000.0
rxn02276,0.0,1000.0
rxn02276_REV,0.0,1000.0
rxn01332,0.293382,4.866172
rxn01388,0.0,1000.0
rxn01388_REV,0.0,1000.0
rxn00974,0.0,1000.0
rxn00974_REV,0.0,1000.0
rxn00973,0.0,1000.0
rxn00973_REV,0.0,1000.0
rxn13886,0.0,0.0
rxn02177,0.0,0.0
rxn05160,0.0,1000.0
rxn05549,0.0,0.0
rxn05644,0.0,1000.0
rxn05167,0.0,0.0
rxn05173,0.0,1000.0
rxn05173_REV,0.0,1000.0
rxn02143,0.0,1000.0
rxn02143_REV,0.0,1000.0
rxn02889,-0.0,1000.0
rxn02889_REV,0.0,1000.0
rxn05649,0.0,1000.0
rxn05649_REV,0.0,1000.0
rxn05307,0.0,1000.0
rxn05307_REV,0.0,1000.0
rxn05300,0.0,1000.0
rxn05300_REV,0.0,1000.0
rxn13811,0.0,1000.0
rxn13811_REV,0.0,1000.0
rxn00649,0.0,0.125829
rPY00184,0.001113,0.001113
rxn08229,0.008146,1000.0
rxn08229_REV,0.0,999.991854
rxn08230,0.004317,1000.0
rxn08230_REV,0.0,999.995683
rPY00183,0.002028,0.002028
rxn08231,0.000392,1000.0
rxn08231_REV,0.0,999.999608
rxn08232,0.012323,1000.0
rxn08232_REV,0.0,999.987677
rxn13847,0.0,1000.0
rxn13847_REV,0.0,1000.0
rxn00065,0.0,0.0
rxn00342,0.0,23.510073
rxn05171,0.0,1000.0
rxn13853,0.0,0.0
rxn13849,0.0,0.0
rxn05608,0.0,0.0
rJB00222,0.0,1000.0
rJB00222_REV,0.0,1000.0
rxn05614,0.0,0.0
rxn05613,0.0,0.0
rxn05149,0.0,0.0
rxn06600,0.0,1000.0
rxn06600_REV,0.0,1000.0
rxn00165,0.0,1000.0
rxn00165_REV,0.0,1000.0
rxn13803,0.0,1000.0
rxn13803_REV,0.0,1000.0
rxn06377,0.0,1000.0
rxn06377_REV,0.0,1000.0
rxn12549,0.0,1000.0
rxn12549_REV,0.0,1000.0
rxn13814,0.0,1000.0
rxn13814_REV,0.0,1000.0
rxn13681,0.0,1000.0
rxn13681_REV,0.0,1000.0
rxn13919,0.0,1000.0
rxn13919_REV,0.0,1000.0
rPY00172,0.003047,0.003047
rPY00175,0.005699,0.005699
rxn00175,0.0,1000.0
rxn00175_REV,0.0,1000.0
rxn05187,0.0,1000.0
rxn05187_REV,0.0,1000.0
rxn05151,0.0,1000.0
rxn06216,0.0,1000.0
rxn06216_REV,0.0,1000.0
rxn01199,0.0,1000.0
rxn01199_REV,0.0,1000.0
rxn08556,0.0,39.636355
rJB00260,0.0,39.636355
rxn02789,0.481704,1000.0
rxn02789_REV,0.0,999.518296
rxn02811,0.0,999.518296
rxn02811_REV,0.481704,1000.0
rxn03884,2.590256,1000.0
rxn03884_REV,0.0,997.409744
rxn00214,0.0,1000.0
